id,title,repo,path,type,tags,authors,date,short_description,status
RBS-001,LUFT/UFT Project Ideas: Unification, Structure, and Dynamic Substrate,Reality-based-Space-and-its-functionality,LUFT/UFT Project Ideas: Unification, Structure, and Dynamic Substrate,document,theory;roadmap;ideas,CarlDeanClineSr,2025-11-11,"Project roadmap: hydrogen phase map, frequency atlas, simulators, signature mining toolkit.",draft
RBS-002,LUFT Harmonic Frequency Scaling Map,Reality-based-Space-and-its-functionality,graphics/luft_harmonic_scaling_map.png,image,visualization;frequencies,CarlDeanClineSr,2025-11-11,"Visual frequency hierarchy map (7,468 Hz core and sub-lattices).",draft
RBS-003,Summary Table: LUFT Frequency Hierarchy,Reality-based-Space-and-its-functionality,Summary Table: LUFT Frequency Hierarchy,document,theory;frequencies,CarlDeanClineSr,2025-11-11,"Tabulated summary of 7,468 Hz core and 4 Hz sub-lattice progression.",draft
RBS-004,AI_Audit_and_Research_Status_Report.md,Reality-based-Space-and-its-functionality,AI_Audit_and_Research_Status_Report.md,document,meta;status;audit,CarlDeanClineSr,2025-11-11,"Automated AI audit of repo health, data streams and recommended next experiments.",draft
RBS-005,Auto Multi-Repo LUFT Index,Reality-based-Space-and-its-functionality,Auto Multi-Repo LUFT Index,workflow,automation;indexing,CarlDeanClineSr,2025-11-11,"GitHub Actions workflow to update multi-repo LUFT index on schedule.",draft
RBS-006,Copilot and Cline Creations,Reality-based-Space-and-its-functionality,Copilot and Cline Creations,document,notes;ideas;speculation,CarlDeanClineSr,2025-11-11,"Collection of creative notes, thought experiments and AI dialogues.",draft
RBS-007,Core Discoveries LUFT,Reality-based-Space-and-its-functionality,Core Discoveries LUFT,document,theory;summary,CarlDeanClineSr,2025-11-11,"High-level summary of LUFT core claims, discoveries and experimental highlights.",draft
RBS-008,Dynamic Couplings & Emergent Anomaly Fields,Reality-based-Space-and-its-functionality,Dynamic Couplings & Emergent Anomaly Fields — LUFT Unification Tracker,document,theory;dynamic;anomalies,CarlDeanClineSr,2025-11-11,"Living tracker for variable couplings and emergent anomaly field definitions.",draft
RBS-009,Einstein-LUFT 2025,Reality-based-Space-and-its-functionality,Einstein-LUFT 2025,document,theory;math;EFE,CarlDeanClineSr,2025-11-11,"Draft connecting LUFT lattice pressure term into modified Einstein equations.",draft
RBS-010,LUFT Unification Analysis Results,Reality-based-Space-and-its-functionality,LUFT Unification Analysis Results,folder,data;analysis;results,CarlDeanClineSr,2025-11-11,"Auto-generated spectrograms, peak lists and analysis outputs for SDR/SQUID files.",draft
